Autorizador;Servico;Versao;Ambiente;Estados;URL;SOAPAction
AM;NfeInutilizacao;4.0;PRD;13;https://nfe.sefaz.am.gov.br/services2/services/NfeInutilizacao4;
AM;NfeconsultaProtocolo;4.0;PRD;13;https://nfe.sefaz.am.gov.br/services2/services/NfeConsulta4;
AM;NfeStatusServico;4.0;PRD;13;https://nfe.sefaz.am.gov.br/services2/services/NfeStatusServico4;
AM;RecepcaoEvento;4.0;PRD;13;https://nfe.sefaz.am.gov.br/services2/services/RecepcaoEvento4;
AM;NFeAutorizacao;4.0;PRD;13;https://nfe.sefaz.am.gov.br/services2/services/NfeAutorizacao4;
AM;NFeRetAutorizacao;4.0;PRD;13;https://nfe.sefaz.am.gov.br/services2/services/NfeRetAutorizacao4;
AM;NfeInutilizacao;4.0;HOM;13;;
AM;NfeconsultaProtocolo;4.0;HOM;13;;
AM;NfeStatusServico;4.0;HOM;13;;
AM;RecepcaoEvento;4.0;HOM;13;;
AM;NFeAutorizacao;4.0;HOM;13;;
AM;NFeRetAutorizacao;4.0;HOM;13;;
BA;NfeInutilizacao;4.0;PRD;29;https://nfe.sefaz.ba.gov.br/webservices/NFeInutilizacao4/NFeInutilizacao4.asmx;
BA;NfeconsultaProtocolo;4.0;PRD;29;https://nfe.sefaz.ba.gov.br/webservices/NFeConsultaProtocolo4/NFeConsultaProtocolo4.asmx;
BA;NfeStatusServico;4.0;PRD;29;https://nfe.sefaz.ba.gov.br/webservices/NFeStatusServico4/NFeStatusServico4.asmx;
BA;RecepcaoEvento;4.0;PRD;29;https://nfe.sefaz.ba.gov.br/webservices/NFeRecepcaoEvento4/NFeRecepcaoEvento4.asmx;
BA;NFeAutorizacao;4.0;PRD;29;https://nfe.sefaz.ba.gov.br/webservices/NFeAutorizacao4/NFeAutorizacao4.asmx;
BA;NFeRetAutorizacao;4.0;PRD;29;https://nfe.sefaz.ba.gov.br/webservices/NFeRetAutorizacao4/NFeRetAutorizacao4.asmx;
BA;NfeInutilizacao;4.0;HOM;29;;
BA;NfeconsultaProtocolo;4.0;HOM;29;;
BA;NfeStatusServico;4.0;HOM;29;;
BA;RecepcaoEvento;4.0;HOM;29;;
BA;NFeAutorizacao;4.0;HOM;29;;
BA;NFeRetAutorizacao;4.0;HOM;29;;
CE;NfeInutilizacao;4.0;PRD;23;https://nfe.sefaz.ce.gov.br/nfe4/services/NFeInutilizacao4?wsdl;
CE;NfeconsultaProtocolo;4.0;PRD;23;https://nfe.sefaz.ce.gov.br/nfe4/services/NFeConsultaProtocolo4?wsdl;
CE;NfeStatusServico;4.0;PRD;23;https://nfe.sefaz.ce.gov.br/nfe4/services/NFeStatusServico4?wsdl;
CE;RecepcaoEvento;4.0;PRD;23;https://nfe.sefaz.ce.gov.br/nfe4/services/NFeRecepcaoEvento4?wsdl;
CE;NFeAutorizacao;4.0;PRD;23;https://nfe.sefaz.ce.gov.br/nfe4/services/NFeAutorizacao4?wsdl;
CE;NFeRetAutorizacao;4.0;PRD;23;https://nfe.sefaz.ce.gov.br/nfe4/services/NFeRetAutorizacao4?wsdl;
CE;NfeInutilizacao;4.0;HOM;23;;
CE;NfeconsultaProtocolo;4.0;HOM;23;;
CE;NfeStatusServico;4.0;HOM;23;;
CE;RecepcaoEvento;4.0;HOM;23;;
CE;NFeAutorizacao;4.0;HOM;23;;
CE;NFeRetAutorizacao;4.0;HOM;23;;
GO;NfeInutilizacao;4.0;PRD;52;https://nfe.sefaz.go.gov.br/nfe/services/NFeInutilizacao4?wsdl;
GO;NfeconsultaProtocolo;4.0;PRD;52;https://nfe.sefaz.go.gov.br/nfe/services/NFeConsultaProtocolo4?wsdl;
GO;NfeStatusServico;4.0;PRD;52;https://nfe.sefaz.go.gov.br/nfe/services/NFeStatusServico4?wsdl;
GO;RecepcaoEvento;4.0;PRD;52;https://nfe.sefaz.go.gov.br/nfe/services/NFeRecepcaoEvento4?wsdl;
GO;NFeAutorizacao;4.0;PRD;52;https://nfe.sefaz.go.gov.br/nfe/services/NFeAutorizacao4?wsdl;
GO;NFeRetAutorizacao;4.0;PRD;52;https://nfe.sefaz.go.gov.br/nfe/services/NFeRetAutorizacao4?wsdl;
GO;NfeInutilizacao;4.0;HOM;52;;
GO;NfeconsultaProtocolo;4.0;HOM;52;;
GO;NfeStatusServico;4.0;HOM;52;;
GO;RecepcaoEvento;4.0;HOM;52;;
GO;NFeAutorizacao;4.0;HOM;52;;
GO;NFeRetAutorizacao;4.0;HOM;52;;
MG;NfeInutilizacao;4.0;PRD;31;https://nfe.fazenda.mg.gov.br/nfe2/services/NFeInutilizacao4;
MG;NfeconsultaProtocolo;4.0;PRD;31;https://nfe.fazenda.mg.gov.br/nfe2/services/NFeConsultaProtocolo4;
MG;NfeStatusServico;4.0;PRD;31;https://nfe.fazenda.mg.gov.br/nfe2/services/NFeStatusServico4;
MG;RecepcaoEvento;4.0;PRD;31;https://nfe.fazenda.mg.gov.br/nfe2/services/NFeRecepcaoEvento4;
MG;NFeAutorizacao;4.0;PRD;31;https://nfe.fazenda.mg.gov.br/nfe2/services/NFeAutorizacao4;
MG;NFeRetAutorizacao;4.0;PRD;31;https://nfe.fazenda.mg.gov.br/nfe2/services/NFeRetAutorizacao4;
MG;NfeInutilizacao;4.0;HOM;31;;
MG;NfeconsultaProtocolo;4.0;HOM;31;;
MG;NfeStatusServico;4.0;HOM;31;;
MG;RecepcaoEvento;4.0;HOM;31;;
MG;NFeAutorizacao;4.0;HOM;31;;
MG;NFeRetAutorizacao;4.0;HOM;31;;
MS;NfeInutilizacao;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeInutilizacao4;
MS;NfeconsultaProtocolo;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeConsultaProtocolo4;
MS;NfeStatusServico;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeStatusServico4;
MS;RecepcaoEvento;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeRecepcaoEvento4;
MS;NFeAutorizacao;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeAutorizacao4;
MS;NFeRetAutorizacao;4.0;PRD;50;https://nfe.sefaz.ms.gov.br/ws/NFeRetAutorizacao4;
MS;NfeInutilizacao;4.0;HOM;50;;
MS;NfeconsultaProtocolo;4.0;HOM;50;;
MS;NfeStatusServico;4.0;HOM;50;;
MS;RecepcaoEvento;4.0;HOM;50;;
MS;NFeAutorizacao;4.0;HOM;50;;
MS;NFeRetAutorizacao;4.0;HOM;50;;
MT;NfeInutilizacao;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeInutilizacao4?wsdl;
MT;NfeconsultaProtocolo;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeConsulta4?wsdl;
MT;NfeStatusServico;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeStatusServico4?wsdl;
MT;RecepcaoEvento;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/RecepcaoEvento4?wsdl;
MT;NFeAutorizacao;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeAutorizacao4?wsdl;
MT;NFeRetAutorizacao;4.0;PRD;51;https://nfe.sefaz.mt.gov.br/nfews/v2/services/NfeRetAutorizacao4?wsdl;
MT;NfeInutilizacao;4.0;HOM;51;;
MT;NfeconsultaProtocolo;4.0;HOM;51;;
MT;NfeStatusServico;4.0;HOM;51;;
MT;RecepcaoEvento;4.0;HOM;51;;
MT;NFeAutorizacao;4.0;HOM;51;;
MT;NFeRetAutorizacao;4.0;HOM;51;;
PE;NfeInutilizacao;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeInutilizacao4;
PE;NfeconsultaProtocolo;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeConsultaProtocolo4;
PE;NfeStatusServico;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeStatusServico4;
PE;RecepcaoEvento;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeRecepcaoEvento4;
PE;NFeAutorizacao;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeAutorizacao4;
PE;NFeRetAutorizacao;4.0;PRD;26;https://nfe.sefaz.pe.gov.br/nfe-service/services/NFeRetAutorizacao4;
PE;NfeInutilizacao;4.0;HOM;26;;
PE;NfeconsultaProtocolo;4.0;HOM;26;;
PE;NfeStatusServico;4.0;HOM;26;;
PE;RecepcaoEvento;4.0;HOM;26;;
PE;NFeAutorizacao;4.0;HOM;26;;
PE;NFeRetAutorizacao;4.0;HOM;26;;
PR;NfeInutilizacao;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeInutilizacao4?wsdl;
PR;NfeconsultaProtocolo;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeConsultaProtocolo4?wsdl;
PR;NfeStatusServico;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeStatusServico4?wsdl;
PR;RecepcaoEvento;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeRecepcaoEvento4?wsdl;
PR;NFeAutorizacao;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeAutorizacao4?wsdl;
PR;NFeRetAutorizacao;4.0;PRD;41;https://nfe.sefa.pr.gov.br/nfe/NFeRetAutorizacao4?wsdl;
PR;NfeInutilizacao;4.0;HOM;41;;
PR;NfeconsultaProtocolo;4.0;HOM;41;;
PR;NfeStatusServico;4.0;HOM;41;;
PR;RecepcaoEvento;4.0;HOM;41;;
PR;NFeAutorizacao;4.0;HOM;41;;
PR;NFeRetAutorizacao;4.0;HOM;41;;
RS;NfeInutilizacao;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/nfeinutilizacao/nfeinutilizacao4.asmx;
RS;NfeconsultaProtocolo;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeConsulta/NfeConsulta4.asmx;
RS;NfeStatusServico;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeStatusServico/NfeStatusServico4.asmx;
RS;RecepcaoEvento;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/recepcaoevento/recepcaoevento4.asmx;
RS;NFeAutorizacao;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeAutorizacao/NFeAutorizacao4.asmx;
RS;NFeRetAutorizacao;4.0;PRD;43;https://nfe.sefazrs.rs.gov.br/ws/NfeRetAutorizacao/NFeRetAutorizacao4.asmx;
RS;NfeInutilizacao;4.0;HOM;43;;
RS;NfeconsultaProtocolo;4.0;HOM;43;;
RS;NfeStatusServico;4.0;HOM;43;;
RS;RecepcaoEvento;4.0;HOM;43;;
RS;NFeAutorizacao;4.0;HOM;43;;
RS;NFeRetAutorizacao;4.0;HOM;43;;
SP;NfeInutilizacao;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfeinutilizacao4.asmx;
SP;NfeconsultaProtocolo;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfeconsultaprotocolo4.asmx;
SP;NfeStatusServico;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfestatusservico4.asmx;
SP;RecepcaoEvento;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nferecepcaoevento4.asmx;
SP;NFeAutorizacao;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nfeautorizacao4.asmx;
SP;NFeRetAutorizacao;4.0;PRD;35;https://nfe.fazenda.sp.gov.br/ws/nferetautorizacao4.asmx;
SP;NfeInutilizacao;4.0;HOM;35;;
SP;NfeconsultaProtocolo;4.0;HOM;35;;
SP;NfeStatusServico;4.0;HOM;35;;
SP;RecepcaoEvento;4.0;HOM;35;;
SP;NFeAutorizacao;4.0;HOM;35;;
SP;NFeRetAutorizacao;4.0;HOM;35;;
